"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"Reticulocytes per 100 Red Blood Cells, Blood","17849-1","Reticulocytes/100 erythrocytes:NFr:Pt:Bld:Qn:Automated count","Reticulocytes/100 erythrocytes in Blood by Automated count"
"Smith extractable nuclear antibody, Blood","56730-5","Smith extractable nuclear Ab:PrThr:Pt:Ser:Ord:IB","Smith extractable nuclear Ab [Presence] in Serum by Immunoblot"
"Reducing substances, Urine","5809-9","Reducing substances:PrThr:Pt:Urine:Ord","Reducing substances [Presence] in Urine"
"RSV, Bronchoalveolar Lavage Specimen","76088-4","Respiratory syncytial virus RNA:PrThr:Pt:BAL:Ord:Probe.amp.tar","Respiratory syncytial virus RNA [Presence] in Bronchoalveolar lavage by NAA with probe detection"
"Specimen source, Specimen","31208-2","Specimen source:Prid:Pt:XXX:Nom","Specimen source identified"
"Salicylates, Blood","4024-6","Salicylates:MCnc:Pt:Ser/Plas:Qn","Salicylates [Mass/volume] in Serum or Plasma"
"Shrimp allergy test","6246-3","Pandalus borealis Ab.IgE:ACnc:Pt:Ser:Qn","Shrimp IgE Ab [Units/volume] in Serum"
"Sex hormone binding globulin, Blood","13967-5","Sex hormone binding globulin:SCnc:Pt:Ser/Plas:Qn","Sex hormone binding globulin [Moles/volume] in Serum or Plasma"
"Neuronal nuclear type 2 antibody, Blood","33008-4","Neuronal nuclear type 2 Ab:PrThr:Pt:Ser:Ord:IB","Neuronal nuclear type 2 Ab [Presence] in Serum by Immunoblot"
"Cytomegalovirus (CMV), Blood","4996-5","Cytomegalovirus DNA:PrThr:Pt:Bld:Ord:Probe.amp.tar","Cytomegalovirus DNA [Presence] in Blood by NAA with probe detection"
"Salmonella paratyphi A H antibody, Blood","21511-1","Salmonella paratyphi A H Ab:Titr:Pt:Ser:SemiQn:Aggl","Salmonella paratyphi A H Ab [Titer] in Serum by Agglutination"
"Fructose, Semen","2295-4","Fructose:MCnc:Pt:Semen:Qn","Fructose [Mass/volume] in Semen"
"Rubella virus, Blood","60274-8","Rubella virus RNA:PrThr:Pt:Ser/Plas:Ord:Probe.amp.tar","Rubella virus RNA [Presence] in Serum or Plasma by NAA with probe detection"
"SARS-CoV-2 (COVID-19) IgG antibody, Blood","94505-5","SARS coronavirus 2 Ab.IgG:ACnc:Pt:Ser/Plas:Qn:IA","SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay"
"Erythrocyte Sedimentation Rate (ESR; Sed Rate), Blood","4537-7","Erythrocyte sedimentation rate:Vel:Pt:Bld:Qn:Westergren","Erythrocyte sedimentation rate by Westergren method"
"Selenium, Urine","30927-8","Selenium:MCnc:XXX:Urine:Qn","Selenium [Mass/volume] in Urine collected for unspecified duration"
"Chlamydia trachomatis, Urine","6357-8","Chlamydia trachomatis DNA:PrThr:Pt:Urine:Ord:Probe.amp.tar","Chlamydia trachomatis DNA [Presence] in Urine by NAA with probe detection"
"Spermatozoa short tail per 100 Sperm, Semen","48375-0","Spermatozoa.short tail/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Short Tail/100 spermatozoa in Semen"
"Hepatitis B virus (HBV) Core IgM antibody, Blood","24113-3","Hepatitis B virus core Ab.IgM:PrThr:Pt:Ser/Plas:Ord:IA","Hepatitis B virus core IgM Ab [Presence] in Serum or Plasma by Immunoassay"
"Folate, Blood","2282-2","Folate:MCnc:Pt:Bld:Qn","Folate [Mass/volume] in Blood"
"Herpes simplex virus 1 (HSV 1) IgG antibody 1st specimen/2nd specimen, Blood","32831-0","Herpes simplex virus 1 Ab.IgG^1st specimen/2nd specimen:Ratio:Pt:Ser:Qn:IA","Herpes simplex virus 1 IgG Ab [Ratio] in Serum by Immunoassay --1st specimen/2nd specimen"
"HIV 1+2 antibody, Blood","80387-4","HIV 1+2 Ab:PrThr:Pt:Ser/Plas/Bld:Ord:IA.rapid","HIV 1+2 Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay"
"Hepatitis B virus (HBV) Surface antigen, Blood","5196-1","Hepatitis B virus surface Ag:PrThr:Pt:Ser/Plas:Ord:IA","Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay"
"Hepatitis C virus (HCV) antibody, Blood","13955-0","Hepatitis C virus Ab:PrThr:Pt:Ser/Plas:Ord:IA","Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay"
"HCG, Blood","83086-9","Choriogonadotropin:ACnc:Pt:Ser/Plas:Qn:IA","Choriogonadotropin [Units/volume] in Serum or Plasma by Immunoassay"
"Haemophilus influenzae B antigen, Spinal fluid","14321-4","Haemophilus influenzae B Ag:PrThr:Pt:CSF:Ord:LA","Haemophilus influenzae B Ag [Presence] in Cerebral spinal fluid by Latex agglutination"
"Sjogrens syndrome-B extractable nuclear antibody, Blood","56725-5","Sjogrens syndrome-B extractable nuclear Ab:PrThr:Pt:Ser:Ord:IB","Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoblot"
"Interpretation of Specimen source identification test result","81147-1","Specimen source identification:Imp:Pt:^Patient:Nar","Specimen source patient identification [Interpretation] Narrative"
"SCA10 gene ATTCT Repeats, Blood or tissue specimen","34494-5","SCA10 gene.ATTCT repeats:PrThr:Pt:Bld/Tiss:Ord:Molgen","SCA10 gene ATTCT repeats [Presence] in Blood or Tissue by Molecular genetics method"
"Streptococcus pneumoniae antigen, Specimen","17652-9","Streptococcus pneumoniae Ag:PrThr:Pt:XXX:Ord:LA","Streptococcus pneumoniae Ag [Presence] in Specimen by Latex agglutination"
"Soluble fms-like tyrosine kinase-1, Blood","74756-8","Soluble fms-like tyrosine kinase-1:MCnc:Pt:Ser:Qn","Soluble fms-like tyrosine kinase-1 [Mass/volume] in Serum"
"Cytomegalovirus (CMV), Spinal fluid","30326-3","Cytomegalovirus DNA:PrThr:Pt:CSF:Ord:Probe.amp.tar","Cytomegalovirus DNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
"Interpretation of Oligosaccharides pattern test result, Blood","53808-2","Oligosaccharides pattern:Imp:Pt:Ser/Plas:Nar","Oligosaccharides pattern [Interpretation] in Serum or Plasma Narrative"
"Streptococcus pneumoniae, Bronchoalveolar Lavage Specimen","92949-7","Streptococcus pneumoniae DNA:NCncRange:Pt:BAL:SemiQn:Non-probe.amp.tar","Streptococcus pneumoniae DNA [NCncRange] in Bronchoalveolar lavage Qualitative by NAA with non-probe detection"
"Spinach allergy test","6856-9","Spinacia oleracea Ab.IgE:ACnc:Pt:Ser:Qn","Spinach IgE Ab [Units/volume] in Serum"
"Susceptibility to Streptomycin 6 ug/mL","25185-0","Streptomycin 6.0 ug/mL:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Streptomycin 6 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria"
"Strawberry allergy test","6257-0","Fragaria vesca Ab.IgE:ACnc:Pt:Ser:Qn","Strawberry IgE Ab [Units/volume] in Serum"
"Microscopic observation, Body fluid","10763-1","Microscopic observation:Prid:Pt:Body fld:Nom:Sudan black stain","Microscopic observation [Identifier] in Body fluid by Sudan black stain"
"t(X;11)(q13.1;q23)(FOXO4,MLL) fusion transcript analysis, Blood or tissue specimen","70275-3","t(X;11)(q13.1;q23)(FOXO4,MLL) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(X;11)(q13.1;q23)(FOXO4,MLL) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"t(11;19)(q23;p13.1)(MLL,ELL) fusion transcript analysis, Blood or tissue specimen","70285-2","t(11;19)(q23;p13.1)(MLL,ELL) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(11;19)(q23;p13.1)(MLL,ELL) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"Microscopic observation, Tissue","10813-4","Microscopic observation:Prid:Pt:Tiss:Nom:Sudan black stain","Microscopic observation [Identifier] in Tissue by Sudan black stain"
"Treponema pallidum antibody, Blood","24110-9","Treponema pallidum Ab:PrThr:Pt:Ser:Ord:IA","Treponema pallidum Ab [Presence] in Serum by Immunoassay"
"t(9;11)(p22;q23)(MLLT3,MLL) fusion transcript analysis, Blood or tissue specimen","21820-6","t(9;11)(p22;q23)(MLLT3,MLL) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(9;11)(p22;q23)(MLLT3,MLL) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"Streptococcus pneumoniae antigen, Spinal fluid","14322-2","Streptococcus pneumoniae Ag:PrThr:Pt:CSF:Ord:LA","Streptococcus pneumoniae Ag [Presence] in Cerebral spinal fluid by Latex agglutination"
"t(8;21)(q22;q22.3)(RUNX1T1,RUNX1) fusion transcript analysis, Blood or tissue specimen","21819-8","t(8;21)(q22;q22.3)(RUNX1T1,RUNX1) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(8;21)(q22;q22.3)(RUNX1T1,RUNX1) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"Sucrose hemolysis, Blood","13534-3","Sucrose hemolysis:PrThr:Pt:Bld:Ord","Sucrose hemolysis [Presence] of Blood"
"Thallium, Urine","21558-2","Thallium:MCnc:24H:Urine:Qn","Thallium [Mass/volume] in 24 hour Urine"
"t(11;19)(q23;p13.3)(MLL,MLLT1) cells/Cells.total, Blood or tissue specimen","21778-6","Cells.t(11;19)(q23;p13.3)(MLL,MLLT1)/Cells.total:NFr:Pt:Bld/Tiss:Qn:Molgen","t(11;19)(q23;p13.3)(MLL,MLLT1) cells/Cells.total in Blood or Tissue by Molecular genetics method"
"t(1;19)(q23.3;p13.3)(PBX1,TCF3) fusion transcript analysis, Blood or tissue specimen","21800-8","t(1;19)(q23.3;p13.3)(PBX1,TCF3) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(1;19)(q23.3;p13.3)(PBX1,TCF3) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"t(1;11)(p32;q23)(EPS15,MLL) fusion transcript analysis, Blood or tissue specimen","70276-1","t(1;11)(p32;q23)(EPS15,MLL) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(1;11)(p32;q23)(EPS15,MLL) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"Target cells, Blood","10381-2","Target cells:PrThr:Pt:Bld:Ord:Microscopy.light","Target cells [Presence] in Blood by Light microscopy"
"Clostridium tetani toxoid IgG antibody, Blood","58770-9","Clostridium tetani toxoid Ab.IgG:ACnc:Pt:Ser:Qn:IF","Clostridium tetani toxoid IgG Ab [Units/volume] in Serum by Immunofluorescence"
"t(6;11)(q27;q23)(MLLT4,MLL) fusion transcript analysis, Blood or tissue specimen","70280-3","t(6;11)(q27;q23)(MLLT4,MLL) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(6;11)(q27;q23)(MLLT4,MLL) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"Spermatozoa isolated tail per 100 Sperm, Semen","48374-3","Spermatozoa.isolated tail/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Isolated Tail/100 spermatozoa in Semen"
"Streptococcus pyogenes enzyme antibody, Blood","5172-2","Streptococcus pyogenes enzyme Ab:PrThr:Pt:Ser:Ord:LA","Streptococcus pyogenes enzyme Ab [Presence] in Serum by Latex agglutination"
"Dacrocytes, Blood","7791-7","Dacryocytes:PrThr:Pt:Bld:Ord:Microscopy.light","Dacrocytes [Presence] in Blood by Light microscopy"
"Microscopic observation, Blood Or Bone Marrow","11019-7","Microscopic observation:Prid:Pt:Bld/Bone mar:Nom:Sudan black B stain","Microscopic observation [Identifier] in Blood or Marrow by Sudan black B stain"
"Sweet vernal grass allergy test","6261-2","Anthoxanthum odoratum Ab.IgE:ACnc:Pt:Ser:Qn","Sweet Vernal grass IgE Ab [Units/volume] in Serum"
"t(12;21)(p13;q22.3)(ETV6,RUNX1) fusion transcript analysis, Blood or tissue specimen","21806-5","t(12;21)(p13;q22.3)(ETV6,RUNX1) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(12;21)(p13;q22.3)(ETV6,RUNX1) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"t(4;11)(q21.3;q23)(AFF1,MLL) fusion transcript analysis, Blood or tissue specimen","21815-6","t(4;11)(q21.3;q23)(AFF1,MLL) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(4;11)(q21.3;q23)(AFF1,MLL) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"t(9;22)(q34.1;q11)(ABL1,BCR) B2a2+b3a2+e1a2 fusion transcript analysis, Blood or tissue specimen","63422-0","t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2+e1a2 fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2+e1a2 fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"t(10;11)(p12;q23)(MLLT10,MLL) fusion transcript analysis, Blood or tissue specimen","62203-5","t(10;11)(p12;q23)(MLLT10,MLL) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(10;11)(p12;q23)(MLLT10,MLL) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"IgG synthesis rate, Serum+Cerebrospinal Fluid","14116-8","IgG synthesis rate:MRat:Pt:Ser+CSF:Qn:Calculated","IgG synthesis rate [Mass/time] in Serum and CSF by calculation"
"t(11;17)(q23;q21)(MLL,MLLT6) fusion transcript analysis, Blood or tissue specimen","70283-7","t(11;17)(q23;q21)(MLL,MLLT6) fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(11;17)(q23;q21)(MLL,MLLT6) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"Thallium, Blood","5743-0","Thallium:MCnc:Pt:Bld:Qn","Thallium [Mass/volume] in Blood"
"TBG, Blood","3021-3","Thyroxine binding globulin:MCnc:Pt:Ser/Plas:Qn","Thyroxine binding globulin [Mass/volume] in Serum or Plasma"
"Timothy allergy test","6265-3","Phleum pratense Ab.IgE:ACnc:Pt:Ser:Qn","Timothy IgE Ab [Units/volume] in Serum"
"Specimen volume, Urine","3167-4","Specimen volume:Vol:24H:Urine:Qn","Volume of 24 hour Urine"
"Thallium/Creatinine, Urine","13469-2","Thallium/Creatinine:MRto:Pt:Urine:Qn","Thallium/Creatinine [Mass Ratio] in Urine"
"Thermoactinomyces vulgaris IgG antibody, Blood","34190-9","Thermoactinomyces vulgaris Ab.IgG:MCnc:Pt:Ser:Qn","Thermoactinomyces vulgaris IgG Ab [Mass/volume] in Serum"
"Toxoplasma gondii IgG avidity, Blood","56990-5","Toxoplasma gondii Ab.IgG avidity:Ratio:Pt:Ser:Qn:IA","Toxoplasma gondii IgG Ab avidity [Ratio] in Serum by Immunoassay"
"Urate, Urine","21587-1","Urate:MCnc:24H:Urine:Qn","Urate [Mass/volume] in 24 hour Urine"
"Thyroglobulin antibody, Blood","8098-6","Thyroglobulin Ab:ACnc:Pt:Ser/Plas:Qn","Thyroglobulin Ab [Units/volume] in Serum or Plasma"
"Pneumocystis jiroveci antigen, Bronchial specimen","31933-5","Pneumocystis jiroveci Ag:PrThr:Pt:Bronchial:Ord","Pneumocystis jiroveci Ag [Presence] in Bronchial specimen"
"Varicella zoster virus (VZV; Chickenpox) IgG antibody, Blood","5403-1","Varicella zoster virus Ab.IgG:ACnc:Pt:Ser:Qn:IA","Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay"
"Toxoplasma gondii, Spinal fluid","42626-2","Toxoplasma gondii DNA:PrThr:Pt:CSF:Ord:Probe.amp.tar","Toxoplasma gondii DNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
"Galactose, Dried blood spot","54084-9","Galactose:MCnc:Pt:Bld.dot:Qn","Galactose [Mass/volume] in DBS"
"Riboflavin, Blood","2924-9","Riboflavin:MCnc:Pt:Ser/Plas:Qn","Riboflavin [Mass/volume] in Serum or Plasma"
"Carotene, Blood","2053-7","Carotene:MCnc:Pt:Ser/Plas:Qn","Carotene [Mass/volume] in Serum or Plasma"
"Ascorbate, Blood","1903-4","Ascorbate:MCnc:Pt:Ser/Plas:Qn","Ascorbate [Mass/volume] in Serum or Plasma"
"Velvet grass allergy test","6272-9","Holcus lanatus Ab.IgE:ACnc:Pt:Ser:Qn","Velvet grass IgE Ab [Units/volume] in Serum"
"Viable cells per 100 cells, Specimen","33194-2","Viable cells/100 cells:NFr:Pt:XXX:Qn","Viable cells/100 cells in Specimen"
"Vasoactive intestinal peptide, Blood","3125-2","Vasoactive intestinal peptide:MCnc:Pt:Ser/Plas:Qn","Vasoactive intestinal peptide [Mass/volume] in Serum or Plasma"
"Albumin, Body fluid","1747-5","Albumin:MCnc:Pt:Body fld:Qn","Albumin [Mass/volume] in Body fluid"
"Albumin, Spinal fluid","1746-7","Albumin:MCnc:Pt:CSF:Qn","Albumin [Mass/volume] in Cerebral spinal fluid"
"Culture, Water","14093-9","Bacteria identified:Prid:Pt:Water:Nom:Culture","Bacteria identified in Water by Culture"
"Total IgE","13834-7","IgE.total:ACnc:Pt:Ser:SemiQn:RAST","Total IgE [Units/volume] in Serum by Radioallergosorbent test (RAST)"
"Hydroxyproline, Urine","2447-1","Hydroxyproline:MRat:24H:Urine:Qn","Hydroxyproline [Mass/time] in 24 hour Urine"
"Cystic Fibrosis NBS Panel","54078-1","Cystic fibrosis newborn screening panel:-:Pt:^Patient:-","Cystic fibrosis newborn screening panel"
"Valine, Blood","20661-5","Valine:SCnc:Pt:Ser/Plas:Qn","Valine [Moles/volume] in Serum or Plasma"
"Vancomycin, Blood","20578-1","Vancomycin:MCnc:Pt:Ser/Plas:Qn","Vancomycin [Mass/volume] in Serum or Plasma"
"Phytonadione, Blood","9622-2","Phytonadione:MCnc:Pt:Ser/Plas:Qn","Phytonadione [Mass/volume] in Serum or Plasma"
"Transferrin, Blood","3034-6","Transferrin:MCnc:Pt:Ser/Plas:Qn","Transferrin [Mass/volume] in Serum or Plasma"
"Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear antibody, Blood","31628-1","Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear Ab:PrThr:Pt:Ser:Ord","Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear Ab [Presence] in Serum"
"Trichophyton sp allergy test","7745-3","Trichophyton Ab.IgE:ACnc:Pt:Ser:Qn","Trichophyton sp IgE Ab [Units/volume] in Serum"
"Voriconazole, Blood","38370-3","Voriconazole:MCnc:Pt:Ser/Plas:Qn","Voriconazole [Mass/volume] in Serum or Plasma"
"White blood cell (WBC) count Corrected for Nucleated Red Blood Cells, Blood","33256-9","Leukocytes^^corrected for nucleated erythrocytes:NCnc:Pt:Bld:Qn:Automated count","Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count"
"Eastern white pine allergy test","6282-8","Pinus strobus Ab.IgE:ACnc:Pt:Ser:Qn","Eastern White Pine IgE Ab [Units/volume] in Serum"
"White bean allergy test","6279-4","Bean white Ab.IgE:ACnc:Pt:Ser:Qn","White Bean IgE Ab [Units/volume] in Serum"
"Tuna allergy test","6270-3","Thunnus albacares Ab.IgE:ACnc:Pt:Ser:Qn","Tuna IgE Ab [Units/volume] in Serum"
"Varicella zoster virus (VZV; Chickenpox) IgM antibody, Blood","5404-9","Varicella zoster virus Ab.IgM:ACnc:Pt:Ser:Qn:IA","Varicella zoster virus IgM Ab [Units/volume] in Serum by Immunoassay"
"Wheat allergy test","6276-0","Triticum aestivum Ab.IgE:ACnc:Pt:Ser:Qn","Wheat IgE Ab [Units/volume] in Serum"
"Trypanosoma cruzi IgG antibody, Blood","87994-0","Trypanosoma cruzi Ab.IgG:PrThr:Pt:Ser:Ord:IA","Trypanosoma cruzi IgG Ab [Presence] in Serum by Immunoassay"
"Urobilinogen, Body fluid","25551-3","Urobilinogen:PrThr:Pt:Body fld:Ord","Urobilinogen [Presence] in Body fluid"
"Thyroid Stimulating Hormone (TSH; Thyrotropin), Blood","11580-8","Thyrotropin:ACnc:Pt:Ser/Plas:Qn:Detection limit <= 0.005 mIU/L","Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L"
"Toxoplasma gondii IgG antibody, Blood","8039-0","Toxoplasma gondii Ab.IgG:ACnc:Pt:Ser:Qn","Toxoplasma gondii IgG Ab [Units/volume] in Serum"
"Reagin antibody, Blood","50690-7","Reagin Ab:Titr:Pt:Ser:SemiQn:VDRL","Reagin Ab [Titer] in Serum by VDRL"
"Pyridoxine, Blood","2900-9","Pyridoxine:MCnc:Pt:Ser/Plas:Qn","Pyridoxine [Mass/volume] in Serum or Plasma"
"Yersinia enterocolitica IgG antibody, Blood","6965-8","Yersinia enterocolitica Ab.IgG:ACnc:Pt:Ser:Qn:IA","Yersinia enterocolitica IgG Ab [Units/volume] in Serum by Immunoassay"
"Thiamine, Blood","2999-1","Thiamine:MCnc:Pt:Ser/Plas:Qn","Thiamine [Mass/volume] in Serum or Plasma"
"VHL gene variant analysis, Blood or tissue specimen","82533-1","VHL gene deletion+duplication & full mutation analysis:Find:Pt:Bld/Tiss:Doc:Molgen","VHL gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method"
"Varicella zoster virus (VZV; Chickenpox), Blood","29248-2","Varicella zoster virus DNA:PrThr:Pt:Bld:Ord:Probe.amp.tar","Varicella zoster virus DNA [Presence] in Blood by NAA with probe detection"
"dRVVT excess phospholipid actual/normal, Blood","68916-6","Coagulation dilute Russell viper venom induced.excess phospholipid actual/Normal:RelTime:Pt:PPP:Qn:Coag","dRVVT W excess phospholipid actual/normal (normalized LA confirm)"
"Toxoplasma gondii, Blood","49449-2","Toxoplasma gondii DNA:NCnc:Pt:Ser/Plas:Qn:Probe.amp.tar","Toxoplasma gondii DNA [#/volume] in Serum or Plasma by NAA with probe detection"
"vWf antigen activity, Blood","27816-8","von Willebrand factor Ag actual/Normal:RelMCnc:Pt:PPP:Qn:IA","von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunoassay"
"Viscosity, Semen","9631-3","Viscosity:Visc:Pt:Semen:Qn","Viscosity of Semen"
"Tocopherols, Blood","47791-9","Tocopherols:MCnc:Pt:Ser/Plas:Qn","Tocopherols [Mass/volume] in Serum or Plasma"
"EPINEPHrine, Urine","11046-0","EPINEPHrine:MCnc:Pt:Urine:Qn","EPINEPHrine [Mass/volume] in Urine"
"Specimen volume, Pericardial fluid","34981-1","Specimen volume:Vol:Pt:Pericard fld:Qn","Volume of Pericardial fluid"
"Walnut allergy test","6273-7","Juglans spp Ab.IgE:ACnc:Pt:Ser:Qn","Walnut IgE Ab [Units/volume] in Serum"
"Protein.monoclonal band 2, Blood","35559-4","Protein.monoclonal band 2:MCnc:Pt:Ser/Plas:Qn:Electrophoresis","Protein.monoclonal band 2 [Mass/volume] in Serum or Plasma by Electrophoresis"
"Norepinephrine, Urine","14853-6","Norepinephrine:SCnc:Pt:Urine:Qn","Norepinephrine [Moles/volume] in Urine"
"Zinc, Blood","5763-8","Zinc:MCnc:Pt:Ser/Plas:Qn","Zinc [Mass/volume] in Serum or Plasma"
"Varicella zoster virus (VZV; Chickenpox) IgG antibody, Spinal fluid","58755-0","Varicella zoster virus Ab.IgG:ACnc:Pt:CSF:Qn:IA","Varicella zoster virus IgG Ab [Units/volume] in Cerebral spinal fluid by Immunoassay"
